program,course_code,title,category,academic_year,semester,credits,language,course_url,description,skills_tags,type_of_exam
Economics,4.135,"Accounting, Controlling, Auditing",Compulsory,2026,Spring,4,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,135,1.00.pdf","Introduction to financial management with a focus on accounting, controlling, and auditing. Covers cost accounting, budgeting, investment analysis, and financial reporting standards such as IFRS. Emphasizes decision-making, corporate governance, and performance management in organizations.","finance, accounting, controlling, auditing, financial reporting, budgeting, IFRS, corporate governance, cost accounting",quiz (30%) + mid-term exam (70%)
Economics,4.220,Data Analytics II: Empirical Research Methods,Compulsory,2026,Spring,6,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,220,1.00.pdf","Course on empirical research methods and econometrics, focusing on linear regression models and causal inference. Covers OLS estimation, hypothesis testing, heteroskedasticity, and endogeneity, with applications in evaluating economic policies. Emphasizes data analysis using R and critical interpretation of statistical results","data analysis, econometrics, regression analysis, OLS, hypothesis testing, causal inference, instrumental variables, R programming, statistical modeling, heteroskedasticity, endogeneity, empirical research",central exam (70%) + group written work (30%)
Economics,4.222,Introduction to Programming,Compulsory,2026,Spring,6,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,222,1.00.pdf","Introduction to programming in Python with a focus on collaborative and reproducible software development. Covers modular coding, object-oriented programming, version control with Git, and interaction with relational databases. Emphasizes project-based work, automation, and best practices such as testing, documentation, and continuous integration","python, programming, object oriented programming, git, version control, databases, SQL, data handling, software development, debugging, testing, devops, automation, collaborative coding",decentral exam (30%) + group written work (70%)
Economics,4.212,Macroeconomics III,Compulsory,2026,Spring,6,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,212,1.00.pdf","Advanced course on macroeconomic theory focusing on long-run economic growth and structural unemployment. Covers dynamic growth models such as the Solow model and extensions, as well as efficiency wage models. Emphasizes quantitative analysis through simulations using Excel or Python and interpretation of macroeconomic dynamics and policy implications","macroeconomics, economic growth, unemployment, growth models, solow model, dynamic modeling, quantitative analysis, economic simulation, excel, python, economic policy, efficiency wage theory",central exam (90%) + written work (10%)
Economics,4.200,Microeconomics III,Compulsory,2026,Spring,6,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,200,1.00.pdf","Advanced microeconomics course focusing on decision-making under uncertainty, information economics, and strategic interaction with asymmetric information. Covers topics such as risk preferences, learning, adverse selection, moral hazard, and signaling. Emphasizes mathematical modeling and application to real-world economic contexts such as insurance, markets, and management decisions","microeconomics, decision under uncertainty, information economics, game theory, asymmetric information, adverse selection, moral hazard, signaling, risk analysis, economic modeling, strategic interaction, learning models",central exam (75%) + written work (25%)
Economics,6.148,Fundamentals of Sustainability Accounting,core elective (no specialization),2026,Spring,4,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,148,1.00.pdf","Course on sustainability accounting and reporting, focusing on environmental and social measurement, ESG investing, and corporate accountability. Covers frameworks for sustainability reporting, carbon accounting, materiality assessment, and regulatory developments. Emphasizes the role of sustainability information in decision-making, management, and auditing","sustainability, ESG, sustainability accounting, carbon accounting, sustainability reporting, impact measurement, corporate governance, sustainable finance, auditing, environmental analysis, social impact, materiality assessment",decentral exam (100%)
Economics,6.247,Economic growth and Technological Change,core elective (no specialization),2026,Spring,4,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,247,1.00.pdf","Course on economic growth and innovation, focusing on how technological change, R&D, and policy shape long-term economic development. Covers endogenous growth models, directed technological change, and the impact of globalization, inequality, and competition on innovation. Emphasizes real-world applications such as artificial intelligence, climate policy, and sustainable growth","economic growth, innovation, R&D, technological change, endogenous growth, macroeconomics, policy analysis, artificial intelligence, sustainability, climate policy, globalization, competition, inequality",active participation (5%) + group presentation (35%) + decentral exam (60%)
Economics,4.130,Corporate finance (BBWL),core elective (business economics),2026,Spring,4,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,130,1.00.pdf","Introduction to corporate finance focusing on investment and financing decisions in firms. Covers risk and return, valuation, cost of capital, capital structure, and financial markets. Emphasizes practical applications such as company valuation, risk management, corporate governance, and interpretation of empirical financial data.","finance, corporate finance, valuation, risk management, cost of capital, capital structure, portfolio theory, CAPM, financial markets, credit risk, corporate governance, financial analysis, investment decisions",central exam (100%)
Economics,6.100,Business and Market Research,core elective (business economics),2026,Spring,4,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,100,1.00.pdf","Course on market research methods and data-driven decision-making in business contexts. Covers the full research process including problem definition, research design, data collection, statistical analysis, and presentation of results. Emphasizes practical application through projects, use of statistical tools such as R, and development of analytical and presentation skills for management decision-making","market research, data analysis, business analytics, research design, statistical analysis, regression, factor analysis, R programming, data collection, presentation skills, project management, decision making",group presentation (100%)
Economics,6.124,International Accounting from the perspective of the CFO,core elective (business economics),2026,Spring,4,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,124,1.00.pdf","Course on international accounting and financial reporting from a managerial perspective, focusing on how CFOs use accounting information for decision-making. Covers financial statement analysis, M&A accounting, consolidation, valuation, and ESG reporting. Emphasizes the role of accounting in corporate strategy, governance, and global business environments","accounting, financial reporting, international accounting, financial statement analysis, M&A, consolidation, valuation, corporate finance, ESG, auditing, corporate governance, decision making",2 decentral exam (50%)
Economics,6.138,Strategies and Business Practices of Swiss Global SMEs,core elective (business economics),2026,Spring,4,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,138,1.00.pdf","Course on the strategies and success factors of Swiss global SMEs, focusing on entrepreneurship, internationalization, and innovation. Covers business practices such as market segmentation, global expansion, governance, and product development. Emphasizes real-world case studies and the analysis of how SMEs achieve sustained competitive advantage in global markets","entrepreneurship, SMEs, international business, strategy, innovation, market entry, global expansion, business development, product strategy, governance, competitive advantage, strategic analysis",decentral exam (70%) + oral exam (30%)
Economics,6.140,Asset-backed Commodity Trading,core elective (business economics),2026,Spring,4,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,140,1.01.pdf","Course on commodity trading with a focus on energy markets, price formation, and trading strategies. Covers fundamentals of oil, gas, and electricity markets, derivatives such as futures and options, and risk management techniques. Emphasizes trading simulations, portfolio decisions, and the impact of policy and energy transition on commodity markets.","commodity trading, energy markets, derivatives, futures, options, risk management, portfolio management, trading strategies, financial markets, hedging, price analysis, energy economics",2 decentral exam (50%)
Economics,6.141,Principles of Financial and Actuarial Mathematics,core elective (business economics),2026,Spring,4,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,141,1.00.pdf","Course on commodity trading with a focus on energy markets, price formation, and trading strategies. Covers fundamentals of oil, gas, and electricity markets, derivatives such as futures and options, and risk management techniques. Emphasizes trading simulations, portfolio decisions, and the impact of policy and energy transition on commodity markets","commodity trading, energy markets, derivatives, futures, options, risk management, portfolio management, trading strategies, financial markets, hedging, price analysis, energy economics",decentral exam (100%)
